"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Djibouti","DJI","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","6.82227","7.45912","8.24604","8.02032","","","","","","","","","9.37204","","","","11.06493","11.3603","","15.5395","16.66565","","","22.81105","","","","","","","37.27547","","","","","","",
"Dominica","DMA","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.89429","94.6003","90.55755","","93.3191","92.31919","88.69065","78.49285","","","76.89243","76.81868","75.18269","","","","81.9211","91.18397","","","","","",
"Denmark","DNK","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","89.22711","89.19928","88.10872","86.31607","84.93635","84.37085","84.5021","85.65958","87.39843","88.22323","88.38124","87.90167","87.91638","88.45483","88.11434","88.46238","","89.21622","","89.58509","90.60777","92.53573","95.75799","92.74235","93.02402","90.96301","90.80236","90.97209","91.29192","91.37941","92.47983","91.51805","91.67685","91.25305","91.278","91.71064","92.25643","","","","",
"Dominican Republic","DOM","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.96131","44.93905","","56.68525","","54.48868","58.64749","","68.56765","66.83578","68.28458","68.20751","67.72275","68.32101","70.05065","71.36837","72.32872","73.23349","74.18809","74.54667","","","",
"Algeria","DZA","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","5.7612","","","","","","","","","","","","","32.46543","","","","","","","","","","","49.12656","49.95308","51.31181","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.43602","59.7904","60.85877","61.86262","62.31728","64.14999","66.18073","67.58032","68.95015","71.2119","71.30023","73.31767","75.45379","77.17245","76.99241","77.8683","80.6408","80.49991","80.645","80.38369","80.90978","","","",
"Early-demographic dividend","EAR","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.87152","41.25065","42.50186","44.1865","46.09408","47.34615","48.57895","50.10845","52.09465","53.51995","54.05185","56.13494","58.57387","60.35019","61.64642","62.28577","62.81074","63.13206","64.24908","64.31126","","","",
"East Asia & Pacific","EAS","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.5732","60.77511","61.73821","62.66023","63.0966","64.88938","66.88209","68.26656","69.60457","71.78609","71.90295","73.878","75.90492","77.55059","77.4789","78.29122","80.91952","80.78122","80.9557","80.73113","81.24246","","","",
"Europe & Central Asia (excluding high income)","ECA","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.1101","80.8336","82.48241","82.43028","82.70971","81.06585","79.44146","80.43643","81.28529","81.54612","81.41374","83.4318","85.06366","85.79707","87.78127","88.49721","88.72278","87.98714","88.23702","87.63771","","","",
"Europe & Central Asia","ECS","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.34524","83.29488","82.9011","83.42484","84.54811","85.82854","86.1392","86.58153","85.97708","85.62488","86.13903","86.34758","86.71833","86.63879","87.80594","88.17146","88.29068","89.41179","89.98592","90.31518","90.05004","90.16755","89.86586","","","",
"Ecuador","ECU","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.37853","48.04316","48.64054","49.59329","50.53312","50.8589","51.21197","53.84625","55.28489","56.61446","","70.14665","72.48103","73.45156","76.95222","80.98376","84.31903","85.96723","87.17883","86.53268","86.0294","","","",
"Egypt, Arab Rep.","EGY","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","17.80661","18.06564","20.13669","20.10629","","","","","","","","","","","","","","","","","","","","59.48309","","","","","","","","","","","","","","","","","","","","77.41167","","80.90166","81.87378","83.12511","","","",
"Euro area","EMU","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","74.12853","75.25144","75.94666","76.42906","77.07952","77.14461","77.51494","78.01707","78.41859","79.10291","80.33742","80.90738","81.08754","81.40195","81.54465","82.60871","84.13616","86.85979","89.15218","89.35535","89.80216","89.4256","87.43316","87.08596","87.47144","88.28076","88.86846","89.40814","90.51846","91.649","92.03121","91.51074","91.97556","91.84057","91.95209","91.36812","91.12635","90.49134","90.29469","90.541","90.90451","90.98786","91.01464","","","",
"Eritrea","ERI","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.11239","16.21153","","18.50865","","22.28117","24.75044","24.05994","23.34966","23.6657","23.29348","25.88158","27.75473","30.05572","32.10264","35.8112","40.67459","43.4702","45.90655","43.94672","44.20333","39.88844","","39.03466","40.25675","","","",
"Spain","ESP","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","41.79834","41.06525","48.32861","","56.39345","59.61315","63.25014","65.77961","68.83195","72.42548","73.98563","","","","","","","","","","","","","","","","","","88.6091","90.4433","92.27067","93.02591","93.44245","94.8251","95.11536","94.68493","93.81765","93.2494","92.7849","92.20098","90.26585","90.50895","91.1254","91.95403","93.28815","95.64771","97.75094","","","","",
"Estonia","EST","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.12564","86.62801","87.87116","88.57984","91.15273","92.68417","93.94951","95.61758","95.79902","95.10093","93.72701","92.42128","91.74543","91.66038","91.46472","92.6303","93.43296","94.54082","95.02152","95.49697","","","","",
"Ethiopia","ETH","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.12729","10.31076","10.57117","11.5276","","","","","","","","","","","","29.95387","30.3126","","","","","","",
"European Union","EUU","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","74.64697","75.66873","76.30042","76.8138","77.53734","78.03922","78.54658","78.96986","79.24453","79.92749","81.11671","81.65428","81.85219","82.18008","82.35201","82.56359","83.25554","86.14237","87.87781","88.03646","88.53078","88.36377","87.24938","87.45912","87.94779","88.8138","89.56276","90.0409","90.55896","91.57889","91.47178","91.07579","91.66863","91.80064","92.09045","91.20971","90.71215","90.97327","91.28471","91.66879","91.771","91.79638","91.82051","","","",
"Fragile and conflict affected situations","FCS","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.64144","18.64056","18.70485","19.02731","19.70813","19.95738","20.22982","20.75196","20.98226","22.02342","22.48416","22.76338","24.4589","25.94718","26.71143","27.65909","28.22813","29.46092","30.42637","31.18536","31.6387","32.3911","31.58323","31.90347","32.57299","32.92023","33.77905","33.78372","","","",
"Finland","FIN","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","86.84263","","","","","","","","","","","","93.79326","","95.93359","95.41511","93.05896","93.58783","93.75928","98.75629","94.88492","95.26391","94.9661","95.17207","95.41716","95.35803","96.08229","96.391","96.13509","95.41035","94.68926","94.28708","93.79525","93.19848","94.89586","94.9359","95.67699","96.32286","96.3946","","","","",
"Fiji","FJI","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3371","76.0777","77.47719","79.77833","79.8237","86.98838","","89.26706","86.37964","","84.77456","","88.74168","88.84323","","","","","","","","","",
"France","FRA","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","80.196","","80.37668","80.75146","","81.21998","82.09055","","84.09295","84.38492","84.41857","84.37496","84.83711","85.46445","","90.54048","91.53542","95.87305","96.47916","96.01478","95.23164","","90.94398","90.68465","90.39445","90.07332","89.86307","89.70683","93.47937","93.37342","93.42457","93.45841","93.52342","93.4033","93.70787","93.94162","94.0829","93.69613","94.36077","94.68814","95.32789","","","","",
"Faroe Islands","FRO","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","School enrollment, secondary, female (% net)","SE.SEC.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
